date,electricity_usage_kwh,water_usage_liters,waste_generated_kg,department
2024-01-01,420,1500,85,Production
2024-01-02,390,1420,78,Production
2024-01-03,450,1600,92,Logistics
2024-01-04,410,1380,80,Production
2024-01-05,380,1300,72,IT
2024-01-06,500,1700,105,Logistics
2024-01-07,460,1550,88,Production
2024-01-08,430,1490,82,IT
2024-01-09,470,1620,96,Logistics
2024-01-10,415,1410,79,Production
2024-01-11,395,1350,74,IT
2024-01-12,480,1660,98,Logistics
2024-01-13,440,1530,87,Production
2024-01-14,520,1780,112,Logistics
2024-01-15,400,1370,76,IT
2024-01-16,425,1440,81,Production
2024-01-17,445,1560,90,Logistics
2024-01-18,510,1720,108,Production
2024-01-19,435,1500,85,IT
2024-01-20,460,1590,93,Logistics
2024-01-21,405,1360,77,IT
2024-01-22,490,1680,101,Production
2024-01-23,475,1640,95,Logistics
2024-01-24,415,1400,80,IT
2024-01-25,530,1800,115,Logistics
2024-01-26,450,1520,88,Production
2024-01-27,420,1460,83,IT
2024-01-28,485,1670,99,Logistics
2024-01-29,445,1510,86,Production
2024-01-30,465,1600,94,Logistics
2024-02-01,435,1480,83,IT
2024-02-02,455,1570,91,Production
2024-02-03,495,1690,102,Logistics
2024-02-04,420,1430,79,IT
2024-02-05,540,1820,118,Logistics
2024-02-06,460,1560,89,Production
2024-02-07,430,1470,84,IT
2024-02-08,475,1630,97,Logistics
2024-02-09,450,1520,87,Production
2024-02-10,410,1380,78,IT
2024-02-11,500,1710,106,Logistics
2024-02-12,465,1580,93,Production
2024-02-13,440,1500,85,IT
2024-02-14,555,1850,120,Logistics
2024-02-15,425,1450,82,Production
2024-02-16,445,1530,88,IT
2024-02-17,480,1650,99,Logistics
2024-02-18,520,1740,110,Production
2024-02-19,440,1510,86,IT
2024-02-20,470,1610,95,Logistics
2024-02-21,415,1390,79,IT
2024-02-22,495,1690,103,Production
2024-02-23,485,1660,98,Logistics
2024-02-24,420,1410,81,IT
2024-02-25,545,1830,117,Logistics
2024-02-26,455,1540,89,Production
2024-02-27,430,1470,84,IT
2024-02-28,490,1680,101,Logistics
2024-03-01,445,1520,87,Production
2024-03-02,470,1610,94,Logistics
2024-03-03,425,1450,82,IT
2024-03-04,460,1570,91,Production
2024-03-05,505,1720,107,Logistics
2024-03-06,435,1480,84,IT
2024-03-07,550,1860,121,Logistics
2024-03-08,465,1590,93,Production
2024-03-09,440,1505,86,IT
2024-03-10,480,1650,98,Logistics
2024-03-11,455,1545,89,Production
2024-03-12,415,1395,79,IT
2024-03-13,510,1730,108,Logistics
2024-03-14,470,1615,95,Production
2024-03-15,445,1525,85,IT
2024-03-16,560,1870,123,Logistics
2024-03-17,430,1465,83,IT
2024-03-18,500,1705,106,Production
2024-03-19,490,1685,102,Logistics
2024-03-20,425,1445,81,IT
2024-03-21,555,1845,119,Logistics
2024-03-22,460,1565,92,Production
2024-03-23,435,1485,85,IT
2024-03-24,495,1695,104,Logistics
2024-03-25,450,1530,88,Production
2024-03-26,420,1415,80,IT
2024-03-27,515,1735,109,Logistics
2024-03-28,475,1635,96,Production
2024-03-29,450,1520,87,HR
2024-03-30,440,1495,84,HR
2024-04-01,430,1470,83,HR
2024-04-02,465,1585,92,Production
2024-04-03,510,1725,108,Logistics
2024-04-04,435,1480,84,HR
2024-04-05,570,1890,125,Logistics
2024-04-06,470,1615,94,Production
2024-04-07,445,1530,87,HR
2024-04-08,490,1680,101,Logistics
2024-04-09,455,1550,90,Production
2024-04-10,425,1445,81,HR
2024-04-11,520,1740,110,Logistics
2024-04-12,475,1635,96,Production
2024-04-13,450,1520,86,HR
2024-04-14,565,1875,122,Logistics
2024-04-15,435,1480,84,Production
2024-04-16,455,1545,89,HR
2024-04-17,495,1695,104,Logistics
2024-04-18,530,1755,112,Production
2024-04-19,445,1520,87,HR
2024-04-20,480,1650,98,Logistics
2024-04-21,420,1400,80,HR
2024-04-22,505,1715,107,Production
2024-04-23,495,1695,103,Logistics
2024-04-24,430,1460,83,HR
2024-04-25,560,1860,121,Logistics
2024-04-26,465,1585,93,Production
2024-04-27,440,1500,86,HR
2024-04-28,500,1710,106,Logistics
2024-04-29,455,1545,90,Production
2024-04-30,475,1630,96,Logistics
